STATION CODE,year,LOCATIONS,STATE,Temp,D.O.,PH,CONDUCTIVITY,B.O.D.,NITRATE,FECAL COLIFORM,TOTAL COLIFORM,Potability,WQI
2051,2014,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,24.4,7.2,7.3,275,1.5,0.1,4,68,1,54.26997478
2051,2012,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,24,6.3,7.5,287,0.9,0.14,5,204,1,56.82308939
2051,2011,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,23.4,8,7,278,1.1,0.11,3,18,1,41.64200713
2052,2012,TUIRIAL UPPER CATCHMENT,MIZORAM,24,6.5,7.2,375,1.1,0.17,33,625,1,53.15999948
2052,2011,TUIRIAL UPPER CATCHMENT,MIZORAM,23.2,6.9,7.2,268,1.1,0.11,6,37,1,50.47424365
2053,2012,TUIRIAL LOWER CATCHMENT,MIZORAM,24,6.9,6.9,349,1.1,0.18,38,503,1,46.10755965
2053,2011,TUIRIAL LOWER CATCHMENT,MIZORAM,23.3,6.8,7.1,286,1.3,0.11,8,29,1,51.03613061
2072,2009,NAN,RIVER BHOGAVO D/S OF SURENDRANAGAR.,28,2.9,8.3,11405,5.6,0.1,49,148,0,132.0706139
2072,2008,RIVER BHOGAVO D/S OF SURENDRANAGAR.,NAN,28,4.1,7.9,4491,16.5,0.1,58,116,0,214.5111504
2082,2009,NAN,"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",29,5,7.7,47156,3.1,0.1,41,114,1,97.10272783
2082,2008,"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",NAN,29,6.3,7.9,43983,1.83,1.22,105,188,1,84.03159339
2162,2014,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,28.6,6.6,7.6,207,4.7,0.7,12,31,1,90.96267652
2162,2013,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA,26.2,7.2,7.5,132,3.3,0.9,38,88,1,74.55735478
2162,2012,ULHAS ATJAMBHUL WATER WORKS,MAHARASHTRA,27,6.7,7.6,137,2.9,0.76,24,64,1,74.81685757
2162,2011,ULHAS ATJAMBHUL WATER WORKS.,MAHARASHTRA,26,6.9,7.8,139,3.3,0.76,85,169,1,82.23912365
2162,2010,ULHAS RIVER ATJAMBHUL WATER WORKS.,NAN,26,6.6,7.6,209,3.4,0.68,97,243,1,81.37672052
2162,2009,NAN,ULHAS RIVER ATJAMBHUL WATER WORKS.,29,6.8,7.5,171,3.8,0.34,88,199,1,81.93549461
2162,2008,ULHAS RIVER ATJAMBHUL WATER WORKS.,NAN,27,5.9,7.2,119,4.04,0.65,133,223,1,84.23110522
2164,2013,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,24.5,6.9,7.5,159,2.8,1,3,82,1,70.82541565
2164,2012,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,23,7,7.7,409,2.4,0.93,4,112,1,70.3454527
2164,2011,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,24.8,6.7,7.8,215,2.5,0.83,2,51,1,74.28993357
2164,2010,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,NAN,27.6,6.9,7.5,119,2.2,0.42,2,71,1,65.36675165
2164,2009,NAN,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,29,6.9,7.3,183,2.2,1.25,2,56,1,62.06887565
2164,2008,VASHISTI RIVER AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,NAN,21,6.9,6.6,291,1.96,1.4,4,104,1,47.90043565
2168,2014,MITHI RIVER,MAHARASHTRA,26.1,3.6,7.4,4424,31.3,2.2,276,474,0,344.5412852
2168,2013,MITHI RIVER,MAHARASHTRA,27,3.6,7.4,6487,30.5,1.5,534,745,0,343.5372052
2168,2012,MITHI RIVER,MAHARASHTRA,25,4.9,7.6,21254,55.5,2.18,560,964,0,566.0604188
2168,2011,MITHI RIVER,MAHARASHTRA,27,3.2,7.4,28018,46,1.67,908,1164,0,495.795409
2168,2010,MITHI RIVER,NAN,29,3.4,7.4,17842,31.5,3.32,1767,1767,0,383.6817951
2168,2009,NAN,MITHI RIVER,34,3.3,7.6,29464,19.4,1.78,1195,1536,0,270.0874301
2168,2008,MITHI RIVER,NAN,32,0.7,7.3,12697,45.6,1.32,642,1259,0,493.248583
2198,2014,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,25,5.5,7.4,6166,7.7,1.1,44,67,0,121.443453
2198,2013,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,27.5,6.3,7.6,209,4.4,1.86,48,98,1,90.78940539
2198,2012,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,29,6.7,7.5,316,4.6,0.6,47,132,1,88.66040957
2198,2011,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,28.9,6.2,7.4,299,5.1,0.95,209,401,1,97.46036435
2198,2010,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),NAN,30.1,6.4,7.4,621,37.8,1.79,413,728,0,390.7750824
2198,2009,NAN,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),32,5.4,7.2,925,11.7,0.78,279,512,0,157.935944
2198,2008,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),NAN,29,5.2,7,478,16.3,0.35,500,1008,0,200.9555739
2199,2013,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,29.3,6.8,7.7,9590,3.6,4.57,3,124,1,84.64673861
2199,2012,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,30,6.4,7.6,10165,3.7,2.14,5,139,1,85.41606243
2199,2011,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,27.4,6,7.4,13925,59.1,3.08,4,116,0,575.2542423
2199,2010,SAVITRI AT OVALE VILLAGE.,NAN,22.1,6.3,7.5,10825,2.9,1.93,5,101,1,77.17506139
2199,2009,NAN,SAVITRI RIVER AT OVALE VILLAGE.,22,6.2,7.2,13848,2.5,4.11,6,127,1,70.02925235
2199,2008,SAVITRI RIVER AT OVALE VILLAGE.,NAN,23,6.8,6.6,6232,2.13,2.72,6,106,1,51.49779861
2270,2014,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.1,7.3,7,188,1,0.1,1286,3048,1,73.12354783
2270,2013,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.7,7.1,6.6,76,1,0.12,2367,3527,1,91.11649774
2270,2012,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,30,7.3,6.8,69,1.2,0.12,457,2446,1,52.94636383
2270,2011,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,26.3,7.4,6.2,76,1.3,0.41,11,133,1,32.62762887
2270,2010,"KHANDEPAR AT CODLI NR BDG,U/S OPA WATERWORKS, SANGUEM",NAN,28.3,7.1,6.2,69,1.4,0.56,7,141,1,34.89742974
2270,2009,NAN,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",28,7.4,6.9,3844,2,0.15,5,10,1,51.59416087
2270,2008,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",NAN,29,5.4,7.3,75,1.8,0.06,350,2400,1,73.692908
2271,2014,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,29,6.3,6.4,79,1.6,1.4,7592,12842,0,214.5787574
2271,2013,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,28.6,6.3,6.6,79,1.6,0.19,2830,6054,0,111.0790694
2271,2012,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,28,6.1,6.9,74,1.8,0.19,1074,3937,1,79.7452033
2271,2011,"RIVER SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,27,6.1,6.5,201,2,0.43,9,149,1,50.2769153
2271,2010,"SAL PAZORKHONI, CUNCOLIM (NR CULVERT MARGAONAN CANACONA N.H.)",NAN,29,6.2,7,77,1.8,0.46,11,173,1,56.73353235
